Date      ,Day       ,OPD Seen-Sept-2019_New ,OPD Seen-Sept-2019_Review ,OPD Seen-Sept-2019_Total ,Date       ,Day       ,OPD Seen-Sept-2022_New ,OPD Seen-Sept-2022_Review ,OPD Seen-Sept-2022_Total ,Date       ,Day       ,OPD Seen-Sept-2023_New ,OPD Seen-Sept-2023_Review ,OPD Seen-Sept-2023_Total ,Growth(%)_New (%) ,Growth(%)_Review(%) ,Growth(%)_Total(%) ,Determinants if any which can affect the volume ,Type of Day       ,Date       ,Day       ,Reasons for high or low prediction ,Type of Day
9/16/2019 ,Monday    ,                   207 ,                      221 ,                     428 ,19-09-2022 ,Monday    ,                   229 ,                      315 ,                     544 ,18-09-2023 ,Monday    ,                   258 ,                      238 ,                     496 ,13%               ,-24%                ,-9%                ,VINAYAGAR CHATHURTHI                            ,National_Holidays ,16-09-2024 ,Monday    ,"SUBA MUHOORTHAM,MILADI NABI"      ,Auspecious
9/17/2019 ,Tuesday   ,                   180 ,                      249 ,                     429 ,20-09-2022 ,Tuesday   ,                   167 ,                      337 ,                     504 ,19-09-2023 ,Tuesday   ,                   189 ,                      362 ,                     551 ,13%               ,7%                  ,9%                 ,                                                ,                  ,17-09-2024 ,Tuesday   ,                                   ,
9/18/2019 ,Wednesday ,                   195 ,                      269 ,                     464 ,21-09-2022 ,Wednesday ,                   176 ,                      317 ,                     493 ,20-09-2023 ,Wednesday ,                   221 ,                      327 ,                     548 ,7%                ,3%                  ,11%                ,                                                ,                  ,18-09-2024 ,Wednesday ,                                   ,
9/19/2019 ,Thursday  ,                   145 ,                      274 ,                     419 ,22-09-2022 ,Thursday  ,                   129 ,                      282 ,                     411 ,21-09-2023 ,Thursday  ,                   202 ,                      318 ,                     520 ,57%               ,13%                 ,27%                ,                                                ,                  ,19-09-2024 ,Thursday  ,                                   ,
9/20/2019 ,Friday    ,                   151 ,                      244 ,                     395 ,23-09-2022 ,Friday    ,                   145 ,                      314 ,                     459 ,22-09-2023 ,Friday    ,                   170 ,                      310 ,                     480 ,17%               ,-1%                 ,5%                 ,                                                ,                  ,20-09-2024 ,Friday    ,                                   ,
9/21/2019 ,Saturday  ,                   160 ,                      248 ,                     408 ,24-09-2022 ,Saturday  ,                   168 ,                      317 ,                     485 ,23-09-2023 ,Saturday  ,                   224 ,                      317 ,                     541 ,33%               ,0%                  ,12%                ,                                                ,                  ,21-09-2024 ,Saturday  ,                                   ,
9/22/2019 ,Sunday    ,                    18 ,                       17 ,                      35 ,25-09-2022 ,Sunday    ,                     5 ,                       28 ,                      33 ,24-09-2023 ,Sunday    ,                    19 ,                       48 ,                      67 ,280%              ,71%                 ,103%               ,                                                ,                  ,22-09-2024 ,Sunday    ,                                   ,
9/23/2019 ,Monday    ,                   232 ,                      274 ,                     506 ,26-09-2022 ,Monday    ,                   152 ,                      282 ,                     434 ,25-09-2023 ,Monday    ,                   296 ,                      325 ,                     621 ,95%               ,15%                 ,43%                ,                                                ,                  ,23-09-2024 ,Monday    ,                                   ,
9/24/2019 ,Tuesday   ,                   221 ,                      297 ,                     518 ,27-09-2022 ,Tuesday   ,                   129 ,                      298 ,                     427 ,26-09-2023 ,Tuesday   ,                   225 ,                      298 ,                     523 ,74%               ,0%                  ,22%                ,                                                ,                  ,24-09-2024 ,Tuesday   ,                                   ,
9/25/2019 ,Wednesday ,                   175 ,                      283 ,                     458 ,28-09-2022 ,Wednesday ,                   145 ,                      302 ,                     447 ,27-09-2023 ,Wednesday ,                   196 ,                      277 ,                     473 ,35%               ,-8%                 ,6%                 ,                                                ,                  ,25-09-2024 ,Wednesday ,                                   ,
9/26/2019 ,Thursday  ,                   175 ,                      313 ,                     488 ,29-09-2022 ,Thursday  ,                   134 ,                      301 ,                     435 ,28-09-2023 ,Thursday  ,                   266 ,                      477 ,                     743 ,99%               ,58%                 ,71%                ,                                                ,                  ,26-09-2024 ,Thursday  ,                                   ,
9/27/2019 ,Friday    ,                   152 ,                      286 ,                     438 ,30-09-2022 ,Friday    ,                   114 ,                      285 ,                     399 ,29-09-2023 ,Friday    ,                   237 ,                      370 ,                     607 ,108%              ,30%                 ,52%                ,                                                ,                  ,27-09-2024 ,Friday    ,                                   ,
9/28/2019 ,Saturday  ,                   160 ,                      230 ,                     390 ,           ,          ,                       ,                          ,                       0 ,30-09-2023 ,Saturday  ,                   221 ,                      313 ,                     534 ,#DIV/0!           ,#DIV/0!             ,#DIV/0!            ,                                                ,                  ,28-09-2024 ,Saturday  ,                                   ,
9/29/2019 ,Sunday    ,                     5 ,                       17 ,                      22 ,           ,          ,                       ,                          ,                         ,           ,          ,                       ,                          ,                         ,                  ,                    ,                   ,                                                ,                  ,29-09-2024 ,Sunday    ,                                   ,
9/30/2019 ,Monday    ,                   216 ,                      261 ,                     477 ,           ,          ,                       ,                          ,                         ,           ,          ,                       ,                          ,                         ,                  ,                    ,                   ,                                                ,                  ,30-09-2024 ,Monday    ,                                   ,
          ,          ,                       ,                          ,                         ,TOTAL      ,          ,                  4048 ,                     7435 ,                   11483 ,TOTAL      ,          ,                  5552 ,                     8633 ,                   14185 ,37%               ,16%                 ,24%                ,                                                ,                  ,TOTAL      ,          ,                                   ,
