Date,Reasons_for_high_or_low_prediction,Type_of_Day,Actual_New,Actual_Review,Actual_Total,Month_Number,Month_Name,Year,Day,Day_Of_Week
2019-02-27,SUBHA MUHOORTHAM,1.0,162,269,431,2,February,2019,27,2
2019-02-28,,0.0,140,257,397,2,February,2019,28,3
2019-03-01,,0.0,166,234,400,3,March,2019,1,4
2019-03-02,,0.0,219,262,481,3,March,2019,2,5
2019-03-03,,0.0,5,18,23,3,March,2019,3,6
2019-03-04,,0.0,211,217,428,3,March,2019,4,0
2019-03-05,,0.0,130,223,353,3,March,2019,5,1
2019-03-06,,0.0,169,251,420,3,March,2019,6,2
2019-03-07,,0.0,132,248,380,3,March,2019,7,3
2019-03-08,,0.0,143,224,367,3,March,2019,8,4
2019-03-09,,0.0,210,295,505,3,March,2019,9,5
2019-03-10,,0.0,10,20,30,3,March,2019,10,6
2019-03-11,,0.0,183,242,425,3,March,2019,11,0
2019-03-12,,0.0,166,244,410,3,March,2019,12,1
2019-03-13,,0.0,152,244,396,3,March,2019,13,2
2019-03-14,,0.0,167,294,461,3,March,2019,14,3
2019-03-15,,0.0,140,273,413,3,March,2019,15,4
2019-03-16,,0.0,182,280,462,3,March,2019,16,5
2019-03-17,,0.0,10,18,28,3,March,2019,17,6
2019-03-18,,0.0,238,279,517,3,March,2019,18,0
2019-03-19,,0.0,202,240,442,3,March,2019,19,1
2019-03-20,,0.0,161,287,448,3,March,2019,20,2
2019-03-21,,0.0,135,288,423,3,March,2019,21,3
2019-03-22,,0.0,200,270,470,3,March,2019,22,4
2019-03-23,,0.0,214,308,522,3,March,2019,23,5
2019-03-24,,0.0,11,18,29,3,March,2019,24,6
2019-03-25,,0.0,220,251,471,3,March,2019,25,0
2019-03-26,,0.0,173,252,425,3,March,2019,26,1
2019-03-27,,0.0,182,309,491,3,March,2019,27,2
2019-03-28,,0.0,177,301,478,3,March,2019,28,3
2019-03-29,,0.0,151,252,403,3,March,2019,29,4
2019-03-30,,0.0,171,251,422,3,March,2019,30,5
2019-03-31,,0.0,7,18,25,3,March,2019,31,6
2019-04-01,Subhahoortham,1.0,229,251,480,4,April,2019,1,0
2019-04-02,,0.0,162,253,415,4,April,2019,2,1
2019-04-03,,0.0,153,240,393,4,April,2019,3,2
2019-04-04,AMMAVASAI,1.0,160,255,415,4,April,2019,4,3
2019-04-05,,0.0,159,239,398,4,April,2019,5,4
2019-04-06,,0.0,233,273,506,4,April,2019,6,5
2019-04-07,,0.0,5,26,31,4,April,2019,7,6
2019-04-08,,0.0,204,274,478,4,April,2019,8,0
2019-04-09,,0.0,168,253,421,4,April,2019,9,1
2019-04-10,Subhahoortham,1.0,129,198,327,4,April,2019,10,2
2019-04-11,,0.0,159,287,446,4,April,2019,11,3
2019-04-12,Subhahoortham.astami,1.0,112,244,356,4,April,2019,12,4
2019-04-13,navami,1.0,158,252,410,4,April,2019,13,5
2019-04-14,,0.0,12,20,32,4,April,2019,14,6
2019-04-15,,0.0,200,283,483,4,April,2019,15,0
2019-04-16,,0.0,139,257,396,4,April,2019,16,1
2019-04-17,Subhahoortham,1.0,151,232,383,4,April,2019,17,2
2019-04-18,Election,2.0,124,113,237,4,April,2019,18,3
2019-04-19,Good Friday,2.0,247,267,514,4,April,2019,19,4
2019-04-20,,0.0,200,258,458,4,April,2019,20,5
2019-04-21,,0.0,15,25,0,4,April,2019,21,6
2019-04-22,Subhahoortham,1.0,252,287,539,4,April,2019,22,0
2019-04-23,,0.0,191,341,532,4,April,2019,23,1
2019-04-24,,0.0,198,313,511,4,April,2019,24,2
2019-04-25,,0.0,183,312,495,4,April,2019,25,3
2019-04-26,Subhahoortham,1.0,182,300,482,4,April,2019,26,4
2019-04-27,,0.0,189,291,480,4,April,2019,27,5
2019-04-28,,0.0,9,26,35,4,April,2019,28,6
2019-04-29,Subhahoortham,1.0,226,306,532,4,April,2019,29,0
2019-04-30,,0.0,192,297,489,4,April,2019,30,1
2019-05-01,,0.0,240,329,569,5,May,2019,1,2
2019-05-02,Suba muhoortham,1.0,201,331,532,5,May,2019,2,3
2019-05-03,,0.0,209,294,503,5,May,2019,3,4
2019-05-04,Ammavasai,1.0,190,272,462,5,May,2019,4,5
2019-05-05,,0.0,9,22,31,5,May,2019,5,6
2019-05-06,,0.0,245,324,569,5,May,2019,6,0
2019-05-07,Atchayathiruthi,1.0,175,266,441,5,May,2019,7,1
2019-05-08,Suba muhoortham,1.0,187,327,514,5,May,2019,8,2
2019-05-09,,0.0,207,327,534,5,May,2019,9,3
2019-05-10,,0.0,176,255,431,5,May,2019,10,4
2019-05-11,,0.0,194,247,441,5,May,2019,11,5
2019-05-12,,0.0,19,38,57,5,May,2019,12,6
2019-05-13,Navami,1.0,291,330,621,5,May,2019,13,0
2019-05-14,,0.0,224,337,561,5,May,2019,14,1
2019-05-15,,0.0,201,333,534,5,May,2019,15,2
2019-05-16,Suba muhoortham,1.0,180,336,516,5,May,2019,16,3
2019-05-17,Suba muhoortham,1.0,184,259,443,5,May,2019,17,4
2019-05-18,Powurnami,1.0,198,271,469,5,May,2019,18,5
2019-05-19,,0.0,11,25,36,5,May,2019,19,6
2019-05-20,,0.0,277,308,585,5,May,2019,20,0
2019-05-21,,0.0,211,320,531,5,May,2019,21,1
2019-05-22,,0.0,222,333,555,5,May,2019,22,2
2019-05-23,,0.0,132,285,417,5,May,2019,23,3
2019-05-24,,0.0,196,281,477,5,May,2019,24,4
2019-05-25,,0.0,226,252,478,5,May,2019,25,5
2019-05-26,,0.0,11,24,35,5,May,2019,26,6
2019-05-27,Navami,1.0,278,306,584,5,May,2019,27,0
2019-05-28,,0.0,208,281,489,5,May,2019,28,1
2019-05-29,Suba muhoortham,1.0,199,251,450,5,May,2019,29,2
2019-05-30,,0.0,204,287,491,5,May,2019,30,3
2019-05-31,,0.0,177,264,441,5,May,2019,31,4
2019-06-01,,0.0,180,265,445,6,June,2019,1,5
2019-06-02,,0.0,6,16,22,6,June,2019,2,6
2019-06-03,Ammavasai,1.0,215,239,454,6,June,2019,3,0
2019-06-04,,0.0,150,238,388,6,June,2019,4,1
2019-06-05,Ramzan,3.0,229,278,507,6,June,2019,5,2
2019-06-06,Suba muhoortham,1.0,143,217,360,6,June,2019,6,3
2019-06-07,,0.0,154,254,408,6,June,2019,7,4
2019-06-08,,0.0,242,275,517,6,June,2019,8,5
2019-06-09,,0.0,2,13,15,6,June,2019,9,6
2019-06-10,Ashtami,1.0,210,287,497,6,June,2019,10,0
2019-06-11,Navami,1.0,199,321,520,6,June,2019,11,1
2019-06-12,,0.0,181,294,475,6,June,2019,12,2
2019-06-13,Suba muhoortham,1.0,144,253,397,6,June,2019,13,3
2019-06-14,Suba muhoortham,1.0,152,227,379,6,June,2019,14,4
2019-06-15,,0.0,242,311,553,6,June,2019,15,5
2019-06-16,,0.0,7,25,32,6,June,2019,16,6
2019-06-17,"Pournami,Hospital strike",1.0,15,9,24,6,June,2019,17,0
2019-06-18,,0.0,300,393,693,6,June,2019,18,1
2019-06-19,,0.0,254,333,587,6,June,2019,19,2
2019-06-20,Suba muhoortham,1.0,198,327,525,6,June,2019,20,3
2019-06-21,,0.0,184,269,453,6,June,2019,21,4
2019-06-22,,0.0,286,360,646,6,June,2019,22,5
2019-06-23,,0.0,5,44,49,6,June,2019,23,6
2019-06-24,,0.0,265,252,517,6,June,2019,24,0
2019-06-25,Ashtami,1.0,196,287,483,6,June,2019,25,1
2019-06-26,Navami,1.0,179,321,500,6,June,2019,26,2
2019-06-27,,0.0,190,288,478,6,June,2019,27,3
2019-06-28,,0.0,182,278,460,6,June,2019,28,4
2019-06-29,,0.0,257,327,584,6,June,2019,29,5
2019-06-30,,0.0,8,26,34,6,June,2019,30,6
2019-07-01,,0.0,268,298,566,7,July,2019,1,0
2019-07-02,Ammavasai,1.0,204,255,459,7,July,2019,2,1
2019-07-03,,0.0,192,242,434,7,July,2019,3,2
2019-07-04,Subhamuhoortham,1.0,205,274,479,7,July,2019,4,3
2019-07-05,,0.0,196,256,452,7,July,2019,5,4
2019-07-06,,0.0,288,333,621,7,July,2019,6,5
2019-07-07,,0.0,10,21,31,7,July,2019,7,6
2019-07-08,Subhamuhoortham,1.0,264,265,529,7,July,2019,8,0
2019-07-09,Ashtami,1.0,236,268,504,7,July,2019,9,1
2019-07-10,Navami,1.0,185,291,476,7,July,2019,10,2
2019-07-11,Subhamuhoortham,1.0,191,292,483,7,July,2019,11,3
2019-07-12,,0.0,196,292,488,7,July,2019,12,4
2019-07-13,,0.0,304,392,696,7,July,2019,13,5
2019-07-14,,0.0,7,50,57,7,July,2019,14,6
2019-07-15,Subhamuhoortham,1.0,232,254,486,7,July,2019,15,0
2019-07-16,,0.0,195,255,450,7,July,2019,16,1
2019-07-17,Adi 1st,1.0,152,230,382,7,July,2019,17,2
2019-07-18,,0.0,202,303,505,7,July,2019,18,3
2019-07-19,,0.0,162,260,422,7,July,2019,19,4
2019-07-20,,0.0,216,303,519,7,July,2019,20,5
2019-07-21,,0.0,12,28,40,7,July,2019,21,6
2019-07-22,,0.0,256,249,505,7,July,2019,22,0
2019-07-23,,0.0,214,264,478,7,July,2019,23,1
2019-07-24,,0.0,219,275,494,7,July,2019,24,2
2019-07-25,Ashtami,1.0,195,279,474,7,July,2019,25,3
2019-07-26,Navami,1.0,152,279,431,7,July,2019,26,4
2019-07-27,,0.0,225,299,524,7,July,2019,27,5
2019-07-28,,0.0,8,17,25,7,July,2019,28,6
2019-07-29,,0.0,208,240,448,7,July,2019,29,0
2019-07-30,,0.0,157,214,371,7,July,2019,30,1
2019-07-31,"Ammavasai,Hospital strike",1.0,142,161,303,7,July,2019,31,2
2019-08-01,,0.0,127,211,338,8,August,2019,1,3
2019-08-02,,0.0,152,229,381,8,August,2019,2,4
2019-08-03,,0.0,158,211,369,8,August,2019,3,5
2019-08-04,,0.0,8,7,15,8,August,2019,4,6
2019-08-05,,0.0,220,256,476,8,August,2019,5,0
2019-08-06,,0.0,162,222,384,8,August,2019,6,1
2019-08-07,,0.0,189,241,430,8,August,2019,7,2
2019-08-08,,0.0,229,280,509,8,August,2019,8,3
2019-08-09,,0.0,196,242,438,8,August,2019,9,4
2019-08-10,,0.0,246,291,537,8,August,2019,10,5
2019-08-11,,0.0,11,23,34,8,August,2019,11,6
2019-08-12,Pkreeth,1.0,364,325,689,8,August,2019,12,0
2019-08-13,,0.0,175,302,477,8,August,2019,13,1
2019-08-14,,0.0,132,254,386,8,August,2019,14,2
2019-08-15,Independence day,2.0,230,286,516,8,August,2019,15,3
2019-08-16,,0.0,199,303,502,8,August,2019,16,4
2019-08-17,,0.0,161,254,415,8,August,2019,17,5
2019-08-18,,0.0,11,20,31,8,August,2019,18,6
2019-08-19,,0.0,225,235,460,8,August,2019,19,0
2019-08-20,,0.0,166,235,401,8,August,2019,20,1
2019-08-21,,0.0,194,270,464,8,August,2019,21,2
2019-08-22,,0.0,148,258,406,8,August,2019,22,3
2019-08-23,Krishna jayanthi,2.0,222,263,485,8,August,2019,23,4
2019-08-24,,0.0,207,277,484,8,August,2019,24,5
2019-08-25,,0.0,15,13,28,8,August,2019,25,6
2019-08-26,,0.0,248,214,462,8,August,2019,26,0
2019-08-27,,0.0,172,257,429,8,August,2019,27,1
2019-08-28,Subhamuhoortham,1.0,160,220,380,8,August,2019,28,2
2019-08-29,,0.0,140,240,380,8,August,2019,29,3
2019-08-30,,0.0,143,216,359,8,August,2019,30,4
2019-08-31,,0.0,142,223,365,8,August,2019,31,5
2019-09-01,,0.0,9,20,29,9,September,2019,1,6
2019-09-02,Vinayagar sathurthi,1.0,186,189,375,9,September,2019,2,0
2019-09-03,,0.0,159,195,354,9,September,2019,3,1
2019-09-04,SUBHA MUHOORTHAM,1.0,129,211,340,9,September,2019,4,2
2019-09-05,AMMAVASAI,1.0,154,266,420,9,September,2019,5,3
2019-09-06,,0.0,131,261,392,9,September,2019,6,4
2019-09-07,,0.0,151,210,361,9,September,2019,7,5
2019-09-08,,0.0,5,14,19,9,September,2019,8,6
2019-09-09,,0.0,208,238,446,9,September,2019,9,0
2019-09-10,,0.0,146,209,355,9,September,2019,10,1
2019-09-11,Moharam,2.0,213,297,510,9,September,2019,11,2
2019-09-12,SUBHA MUHOORTHAM,1.0,119,199,318,9,September,2019,12,3
2019-09-13,,0.0,162,250,412,9,September,2019,13,4
2019-09-14,,0.0,217,277,494,9,September,2019,14,5
2019-09-15,,0.0,5,24,29,9,September,2019,15,6
2019-09-16,,0.0,207,221,428,9,September,2019,16,0
2019-09-17,,0.0,180,249,429,9,September,2019,17,1
2019-09-18,,0.0,195,269,464,9,September,2019,18,2
2019-09-19,,0.0,145,274,419,9,September,2019,19,3
2019-09-20,,0.0,151,244,395,9,September,2019,20,4
2019-09-21,,0.0,160,248,408,9,September,2019,21,5
2019-09-22,,0.0,18,17,35,9,September,2019,22,6
2019-09-23,,0.0,232,274,506,9,September,2019,23,0
2019-09-24,,0.0,221,297,518,9,September,2019,24,1
2019-09-25,,0.0,175,283,458,9,September,2019,25,2
2019-09-26,,0.0,175,313,488,9,September,2019,26,3
2019-09-27,,0.0,152,286,438,9,September,2019,27,4
2019-09-28,AMMAVASAI,1.0,160,230,390,9,September,2019,28,5
2019-09-29,,0.0,5,17,22,9,September,2019,29,6
2019-09-30,,0.0,216,261,477,9,September,2019,30,0
2019-10-01,,0.0,214,265,479,10,October,2019,1,1
2019-10-02,GANDHI JAYANTHI,2.0,283,265,548,10,October,2019,2,2
2019-10-03,,0.0,160,236,396,10,October,2019,3,3
2019-10-04,,0.0,141,254,395,10,October,2019,4,4
2019-10-05,,0.0,133,236,369,10,October,2019,5,5
2019-10-06,,0.0,16,18,34,10,October,2019,6,6
2019-10-07,SARASHWATHI POOJA,3.0,167,147,314,10,October,2019,7,0
2019-10-08,VIJAYADASAMI,3.0,229,248,477,10,October,2019,8,1
2019-10-09,,0.0,169,256,425,10,October,2019,9,2
2019-10-10,,0.0,162,256,418,10,October,2019,10,3
2019-10-11,,0.0,150,283,433,10,October,2019,11,4
2019-10-12,,0.0,158,236,394,10,October,2019,12,5
2019-10-13,,0.0,10,15,25,10,October,2019,13,6
2019-10-14,SUBHAMUHOORTHAM,1.0,190,191,381,10,October,2019,14,0
2019-10-15,,0.0,173,235,408,10,October,2019,15,1
2019-10-16,,0.0,150,216,366,10,October,2019,16,2
2019-10-17,,0.0,117,242,359,10,October,2019,17,3
2019-10-18,,0.0,138,234,372,10,October,2019,18,4
2019-10-19,,0.0,154,197,351,10,October,2019,19,5
2019-10-20,,0.0,8,14,22,10,October,2019,20,6
2019-10-21,,0.0,156,184,340,10,October,2019,21,0
2019-10-22,,0.0,124,197,321,10,October,2019,22,1
2019-10-23,,0.0,125,171,296,10,October,2019,23,2
2019-10-24,SUBHAMUHOORTHAM,1.0,116,196,312,10,October,2019,24,3
2019-10-25,,0.0,78,150,228,10,October,2019,25,4
2019-10-26,,0.0,115,168,283,10,October,2019,26,5
2019-10-27,DIWALI,2.0,21,3,24,10,October,2019,27,6
2019-10-28,,0.0,270,229,499,10,October,2019,28,0
2019-10-29,,0.0,244,236,480,10,October,2019,29,1
2019-10-30,DEVAR JAYANTHI,2.0,227,209,436,10,October,2019,30,2
2019-10-31,,0.0,186,208,394,10,October,2019,31,3
2019-11-01,SUBHAMUHOORTHAM,1.0,168,238,406,11,November,2019,1,4
2019-11-02,KANDA SASHTI,1.0,194,246,440,11,November,2019,2,5
2019-11-03,,0.0,6,13,19,11,November,2019,3,6
2019-11-04,NAVAMI,1.0,215,246,461,11,November,2019,4,0
2019-11-05,,0.0,182,256,438,11,November,2019,5,1
2019-11-06,,0.0,223,247,470,11,November,2019,6,2
2019-11-07,,0.0,191,234,425,11,November,2019,7,3
2019-11-08,,0.0,165,222,387,11,November,2019,8,4
2019-11-09,,0.0,172,226,398,11,November,2019,9,5
2019-11-10,MILADINABI,2.0,9,12,21,11,November,2019,10,6
2019-11-11,,0.0,240,203,443,11,November,2019,11,0
2019-11-12,POWRNAMI,1.0,183,253,436,11,November,2019,12,1
2019-11-13,,0.0,182,215,397,11,November,2019,13,2
2019-11-14,CHILDRENS DAY,2.0,172,243,415,11,November,2019,14,3
2019-11-15,SUBHAMUHOORTHAM,1.0,166,219,385,11,November,2019,15,4
2019-11-16,,0.0,187,265,452,11,November,2019,16,5
2019-11-17,,0.0,6,29,35,11,November,2019,17,6
2019-11-18,ASHTAMI,1.0,249,257,506,11,November,2019,18,0
2019-11-19,NAVAMI,1.0,189,268,457,11,November,2019,19,1
2019-11-20,,0.0,207,271,478,11,November,2019,20,2
2019-11-21,,0.0,173,300,473,11,November,2019,21,3
2019-11-22,SUBHAMUHOORTHAM,1.0,177,249,426,11,November,2019,22,4
2019-11-23,,0.0,222,337,559,11,November,2019,23,5
2019-11-24,,0.0,9,32,41,11,November,2019,24,6
2019-11-25,,0.0,248,238,486,11,November,2019,25,0
2019-11-26,AMMAVASAI,1.0,180,229,409,11,November,2019,26,1
2019-11-27,,0.0,171,248,419,11,November,2019,27,2
2019-11-28,,0.0,177,240,417,11,November,2019,28,3
2019-11-29,,0.0,172,256,428,11,November,2019,29,4
2019-11-30,,0.0,154,243,397,11,November,2019,30,5
2019-12-01,SUBHAMUHOORTHAM,1.0,7,22,29,12,December,2019,1,6
2019-12-02,ASHTAMI,1.0,223,202,425,12,December,2019,2,0
2019-12-03,NAVAMI,1.0,158,218,376,12,December,2019,3,1
2019-12-04,,0.0,177,247,424,12,December,2019,4,2
2019-12-05,,0.0,178,267,445,12,December,2019,5,3
2019-12-06,SUBHAMUHOORTHAM,1.0,123,188,311,12,December,2019,6,4
2019-12-07,,0.0,187,224,411,12,December,2019,7,5
2019-12-08,,0.0,9,21,30,12,December,2019,8,6
2019-12-09,,0.0,199,237,436,12,December,2019,9,0
2019-12-10,DEEPAM,1.0,163,208,371,12,December,2019,10,1
2019-12-11,SUBHAMUHOORTHAM,1.0,216,257,473,12,December,2019,11,2
2019-12-12,,0.0,157,310,467,12,December,2019,12,3
2019-12-13,,0.0,198,324,522,12,December,2019,13,4
2019-12-14,,0.0,210,303,513,12,December,2019,14,5
2019-12-15,,0.0,7,18,25,12,December,2019,15,6
2019-12-16,,0.0,207,222,429,12,December,2019,16,0
2019-12-17,,0.0,183,298,481,12,December,2019,17,1
2019-12-18,ASHTAMI,1.0,165,269,434,12,December,2019,18,2
2019-12-19,NAVAMI,1.0,178,286,464,12,December,2019,19,3
2019-12-20,,0.0,134,263,397,12,December,2019,20,4
2019-12-21,,0.0,183,292,475,12,December,2019,21,5
2019-12-22,SUBHAMUHOORTHAM,1.0,8,31,39,12,December,2019,22,6
2019-12-23,,0.0,220,267,487,12,December,2019,23,0
2019-12-24,,0.0,224,315,539,12,December,2019,24,1
2019-12-25,"Ammavasai, Christmas",1.0,180,247,427,12,December,2019,25,2
2019-12-26,,0.0,139,213,352,12,December,2019,26,3
2019-12-27,,0.0,245,293,538,12,December,2019,27,4
2019-12-28,,0.0,239,262,501,12,December,2019,28,5
2019-12-29,,0.0,9,16,25,12,December,2019,29,6
2019-12-30,,0.0,305,310,615,12,December,2019,30,0
2019-12-31,,0.0,238,320,558,12,December,2019,31,1
2022-01-01,New year,2.0,70,139,209,1,January,2022,1,5
2022-01-02,Ammavasai,1.0,11,20,31,1,January,2022,2,6
2022-01-03,,0.0,163,245,408,1,January,2022,3,0
2022-01-04,,0.0,151,269,420,1,January,2022,4,1
2022-01-05,,1.0,140,264,404,1,January,2022,5,2
2022-01-06,,0.0,147,297,397,1,January,2022,6,3
2022-01-07,,0.0,134,269,403,1,January,2022,7,4
2022-01-08,Sashti,1.0,156,262,418,1,January,2022,8,5
2022-01-09,,0.0,7,31,38,1,January,2022,9,6
2022-01-10,Ashtami,1.0,152,195,347,1,January,2022,10,0
2022-01-11,Navami,1.0,91,237,328,1,January,2022,11,1
2022-01-12,,0.0,113,186,277,1,January,2022,12,2
2022-01-13,Bogi.Ammavasai,0.0,81,153,234,1,January,2022,13,3
2022-01-14,Thaipongal,3.0,98,59,157,1,January,2022,14,4
2022-01-15,Mattupongal,3.0,112,129,241,1,January,2022,15,5
2022-01-16,Uzhavarthirunal,3.0,8,1,9,1,January,2022,16,6
2022-01-17,Thaipoosam,3.0,247,211,458,1,January,2022,17,0
2022-01-18,,0.0,168,272,440,1,January,2022,18,1
2022-01-19,,0.0,154,309,463,1,January,2022,19,2
2022-01-20,,0.0,190,285,475,1,January,2022,20,3
2022-01-21,,0.0,146,230,376,1,January,2022,21,4
2022-01-22,,0.0,177,262,439,1,January,2022,22,5
2022-01-23,Subamuhoortham,1.0,4,27,31,1,January,2022,23,6
2022-01-24,,0.0,184,254,438,1,January,2022,24,0
2022-01-25,Ashtami,1.0,146,279,425,1,January,2022,25,1
2022-01-26,"Rupulic day,Navami",2.0,175,284,459,1,January,2022,26,2
2022-01-27,Subamuhoortham,1.0,120,231,351,1,January,2022,27,3
2022-01-28,,1.0,126,214,340,1,January,2022,28,4
2022-01-29,,0.0,150,234,384,1,January,2022,29,5
2022-01-30,,1.0,7,23,30,1,January,2022,30,6
2022-01-31,Thaiammavasai,1.0,190,254,444,1,January,2022,31,0
2022-02-01,Thaiammavasai,1.0,116,233,349,2,February,2022,1,1
2022-02-02,,0.0,123,254,377,2,February,2022,2,2
2022-02-03,,0.0,148,267,415,2,February,2022,3,3
2022-02-04,,1.0,152,241,393,2,February,2022,4,4
2022-02-05,,0.0,147,277,424,2,February,2022,5,5
2022-02-06,Subamuhoortham,1.0,4,35,39,2,February,2022,6,6
2022-02-07,,0.0,193,247,440,2,February,2022,7,0
2022-02-08,,0.0,160,300,460,2,February,2022,8,1
2022-02-09,Astami,1.0,165,276,441,2,February,2022,9,2
2022-02-10,Navami,1.0,144,261,405,2,February,2022,10,3
2022-02-11,,1.0,132,220,352,2,February,2022,11,4
2022-02-12,,1.0,151,302,453,2,February,2022,12,5
2022-02-13,,0.0,10,29,39,2,February,2022,13,6
2022-02-14,Subamuhoortham,1.0,177,235,412,2,February,2022,14,0
2022-02-15,,0.0,163,260,423,2,February,2022,15,1
2022-02-16,Powrnami,1.0,168,260,428,2,February,2022,16,2
2022-02-17,,0.0,147,260,407,2,February,2022,17,3
2022-02-18,,0.0,189,289,478,2,February,2022,18,4
2022-02-19,,0.0,243,295,538,2,February,2022,19,5
2022-02-20,Sathurthi,1.0,7,9,16,2,February,2022,20,6
2022-02-21,Subamuhoortham,1.0,207,284,491,2,February,2022,21,0
2022-02-22,,0.0,163,279,442,2,February,2022,22,1
2022-02-23,,0.0,188,310,498,2,February,2022,23,2
2022-02-24,,0.0,168,298,466,2,February,2022,24,3
2022-02-25,,0.0,148,289,437,2,February,2022,25,4
2022-02-26,,0.0,219,336,555,2,February,2022,26,5
2022-02-27,,0.0,11,32,43,2,February,2022,27,6
2022-02-28,,0.0,219,245,464,2,February,2022,28,0
2022-03-01,Mahasivarathiri,2.0,162,288,450,3,March,2022,1,1
2022-03-02,Ammavasai,1.0,143,244,387,3,March,2022,2,2
2022-03-03,,0.0,147,284,431,3,March,2022,3,3
2022-03-04,Subamuhoortham,1.0,181,273,454,3,March,2022,4,4
2022-03-05,,0.0,179,331,510,3,March,2022,5,5
2022-03-06,,0.0,4,38,42,3,March,2022,6,6
2022-03-07,,0.0,197,285,482,3,March,2022,7,0
2022-03-08,Sashti,1.0,167,345,512,3,March,2022,8,1
2022-03-09,,0.0,177,309,486,3,March,2022,9,2
2022-03-10,,0.0,141,284,425,3,March,2022,10,3
2022-03-11,Subamuhoortham,1.0,160,271,431,3,March,2022,11,4
2022-03-12,Astami,1.0,216,323,539,3,March,2022,12,5
2022-03-13,Navami,1.0,13,37,50,3,March,2022,13,6
2022-03-14,Subamuhoortham,1.0,220,309,529,3,March,2022,14,0
2022-03-15,,0.0,182,310,492,3,March,2022,15,1
2022-03-16,Subamuhoortham,1.0,156,299,455,3,March,2022,16,2
2022-03-17,Holi,2.0,160,328,488,3,March,2022,17,3
2022-03-18,,0.0,140,259,399,3,March,2022,18,4
